query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
lifting,,,,,67,29,43%,62.99%,614
update personal information,,,,,67,29,43%,62.99%,739
send old passport,,,,,86,41,48%,62.99%,173
burma,,,,,59,24,41%,62.99%,1328
wage slips,,,,,78,36,46%,62.99%,404
criminal justice system,,,,,51,19,37%,62.99%,288
cec,,,,,51,19,37%,62.99%,1428
education,,,,,89,43,48%,62.99%,30
milk,,,,,89,43,48%,62.99%,646
self,,,,,62,26,42%,62.99%,193
oca41 form,,,,,62,26,42%,62.99%,207
surveyor,,,,,62,26,42%,62.99%,1349
alternative fund,,,,,81,38,47%,62.99%,373
neonatal,,,,,54,21,39%,62.99%,117
100,,,,,54,21,39%,62.99%,947
section 5,,,,,54,21,39%,62.99%,963
e-visa,,,,,54,21,39%,62.99%,1456
delete account,,,,,92,45,49%,62.99%,282
return driving licence,,,,,92,45,49%,62.99%,796
bn4,,,,,92,45,49%,62.99%,1080
rainfall,,,,,65,28,43%,62.99%,530
replacement visa,,,,,65,28,43%,62.99%,709
toefl,,,,,65,28,43%,62.99%,1253
health and safety at work act 1974,,,,,57,23,40%,62.99%,183
agm,,,,,57,23,40%,62.99%,720
re-test,,,,,76,35,46%,62.99%,197
portable document a1,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3,,76,35,46%,62.99%,240
dvla contact details,,,,,76,35,46%,62.99%,867
work tax,/income-tax,3 perfect,3,,68,30,44%,62.99%,5
culture,,,,,68,30,44%,62.99%,222
chidcare account,,,,,68,30,44%,62.99%,282
forgot password,,,,,87,42,48%,62.99%,756
individual,,,,,60,25,42%,62.99%,79
assessment of financial circumstances,,,,,60,25,42%,62.99%,268
slavery,,,,,60,25,42%,62.99%,350
case study,,,,,60,25,42%,62.99%,833
d46p form,,,,,79,37,47%,62.99%,207
drivers lisence,,,,,52,20,38%,62.99%,478
rex number,,,,,52,20,38%,62.99%,1233
road tax checker,/check-vehicle-tax,3 perfect,3,,71,32,45%,62.99%,15
ebss form,,,,,71,32,45%,62.99%,207
alarm test,,,,,71,32,45%,62.99%,243
acquisition,,,,,71,32,45%,62.99%,389
lost visa,,,,,71,32,45%,62.99%,706
social security and child support web chat,,,,,71,32,45%,62.99%,873
gov.uk/vehicle-tax,/vehicle-tax,3 perfect,3,,63,27,43%,62.99%,6
full time education,,,,,63,27,43%,62.99%,89
eye,,,,,63,27,43%,62.99%,151
pay outstanding tax,/pay-self-assessment-tax-bill,3 perfect,3,,82,39,48%,62.99%,8
terms and conditions,,,,,55,22,40%,62.99%,233
home care jobs,,,,,74,34,46%,62.99%,187
health assessment,,,,,66,29,44%,62.99%,183
self employment grant,,,,,66,29,44%,62.99%,196
energy company obligation,,,,,66,29,44%,62.99%,423
10,,,,,85,41,48%,62.99%,956
educational visits,,,,,58,24,41%,62.99%,32
nursery,,,,,58,24,41%,62.99%,117
pension helpline,,,,,58,24,41%,62.99%,268
how to change bank details,,,,,58,24,41%,62.99%,383
register for goverment gateway,,,,,58,24,41%,62.99%,415
turnover,,,,,58,24,41%,62.99%,595
green paper,,,,,58,24,41%,62.99%,660
active travel,,,,,58,24,41%,62.99%,781
english proficiency,,,,,50,19,38%,62.99%,41
return old brp,,,,,50,19,38%,62.99%,173
increase in state pension,,,,,50,19,38%,62.99%,309
ni insurance,/national-insurance,3 perfect,3,,50,19,38%,62.99%,465
dual citizen,,,,,50,19,38%,62.99%,590
ancestory visa,,,,,50,19,38%,62.99%,705
scampton,,,,,50,19,38%,62.99%,1210
category n,,,,,50,19,38%,62.99%,1472
finding old pensions,,,,,69,31,45%,62.99%,172
complaint form,,,,,69,31,45%,62.99%,204
test procedure,,,,,69,31,45%,62.99%,243
business analysis,,,,,88,43,49%,62.99%,424
pending,,,,,61,26,43%,62.99%,596
mallon,,,,,61,26,43%,62.99%,1312
customer,,,,,80,38,48%,62.99%,421
eggs,,,,,80,38,48%,62.99%,644
child benefit online,,,,,53,21,40%,62.99%,104
creative industry,,,,,53,21,40%,62.99%,238
bank account details,,,,,53,21,40%,62.99%,383
hmt,,,,,53,21,40%,62.99%,694
my pip claim,,,,,72,33,46%,62.99%,248
regulation,,,,,91,45,49%,62.99%,218
new rules,,,,,64,28,44%,62.99%,59
communications,,,,,64,28,44%,62.99%,215
n i record,,,,,64,28,44%,62.99%,1472
financial sanctions,,,,,83,40,48%,62.99%,274
passport helpline,,,,,83,40,48%,62.99%,802
youthmobility india,,,,,56,23,41%,62.99%,209
gran canaria,,,,,75,35,47%,62.99%,1252
retiring,,,,,75,35,47%,62.99%,1337
water quality,,,,,94,47,50%,62.99%,522
charitable trust,,,,,67,30,45%,62.99%,374
conversion,,,,,86,42,49%,62.99%,34
child benefit entitlement letter,,,,,59,25,42%,62.99%,104
appropriation,,,,,59,25,42%,62.99%,291
beneficiary,,,,,78,37,47%,62.99%,78
landlord registration,,,,,51,20,39%,62.99%,415
nexus,,,,,51,20,39%,62.99%,1312
pension payment dates,,,,,70,32,46%,62.99%,459
data retention,,,,,70,32,46%,62.99%,721
tax agents,/topic/dealing-with-hmrc/tax-agent-guidance,3 perfect,3,,89,44,49%,62.99%,6
lost retention certificate,,,,,89,44,49%,62.99%,769
roll tax,/check-vehicle-tax,1 okay,1,,62,27,44%,62.99%,6
roll tax,/vehicle-tax,1 okay,1,,62,27,44%,62.99%,6
car park,,,,,62,27,44%,62.99%,471
april,,,,,62,27,44%,62.99%,1336
incapacity benefits,,,,,81,39,48%,62.99%,78
fsf,,,,,54,22,41%,62.99%,100
how to register a trust,,,,,54,22,41%,62.99%,267
acts,,,,,54,22,41%,62.99%,343
lift,,,,,54,22,41%,62.99%,614
emergency text,,,,,54,22,41%,62.99%,810
saye,,,,,54,22,41%,62.99%,1150
cpc we provide,,,,,73,34,47%,62.99%,724
uk entry requirements,,,,,73,34,47%,62.99%,790
allotments,,,,,92,46,50%,62.99%,209
national referral mechanism,,,,,65,29,45%,62.99%,209
share cide,,,,,65,29,45%,62.99%,386
notice of acting,,,,,65,29,45%,62.99%,843
sound deadning,,,,,84,41,49%,62.99%,553
how long,,,,,57,24,42%,62.99%,97
pipeline,,,,,57,24,42%,62.99%,595
gas and electric,,,,,57,24,42%,62.99%,625
valid,,,,,57,24,42%,62.99%,801
1181,,,,,57,24,42%,62.99%,1282
track pension,/find-pension-contact-details,2 good,2,,68,31,46%,62.99%,403
renewal of brp,,,,,68,31,46%,62.99%,768
self employed grant,,,,,60,26,43%,62.99%,196
rebasing,,,,,60,26,43%,62.99%,595
address history,,,,,79,38,48%,62.99%,280
health workers,,,,,52,21,40%,62.99%,183
covid deaths,,,,,52,21,40%,62.99%,330
solar panel,,,,,52,21,40%,62.99%,588
vat accounting,,,,,52,21,40%,62.99%,617
change sic code,,,,,52,21,40%,62.99%,725
lp10,,,,,52,21,40%,62.99%,1160
computer science,,,,,71,33,46%,62.99%,236
pet food,,,,,71,33,46%,62.99%,640
care sponsorship,,,,,90,45,50%,62.99%,188
tax point,/hmrc-internal-manuals/vat-time-of-supply/vattos3600,1 okay,1,,63,28,44%,62.99%,6
tax point,/government/statistics/percentile-points-from-1-to-99-for-total-income-before-and-after-tax,2 good,2,,63,28,44%,62.99%,6
not self employed anymore,,,,,63,28,44%,62.99%,196
personal representative,,,,,63,28,44%,62.99%,268
local government,,,,,63,28,44%,62.99%,305
court hearings,,,,,63,28,44%,62.99%,359
pay as you,/log-in-register-hmrc-online-services,3 perfect,3,,63,28,44%,62.99%,695
section 106,,,,,82,40,49%,62.99%,1382
passport return address,,,,,55,23,42%,62.99%,778
free travel,,,,,55,23,42%,62.99%,904
2134,,,,,55,23,42%,62.99%,1023
health care assistance,,,,,74,35,47%,62.99%,189
freelancer,,,,,66,30,45%,62.99%,50
statutory payments,,,,,66,30,45%,62.99%,459
ets,,,,,66,30,45%,62.99%,670
site,,,,,66,30,45%,62.99%,719
beautician,,,,,66,30,45%,62.99%,1276
tax status,/check-vehicle-tax,2 good,2,,85,42,49%,62.99%,6
tax status,/get-vehicle-information-from-dvla,2 good,2,,85,42,49%,62.99%,6
tax status,/check-mot-status,2 good,2,,85,42,49%,62.99%,6
tax status,/guidance/check-employment-status-for-tax,2 good,2,,85,42,49%,62.99%,6
change name after marriage,,,,,85,42,49%,62.99%,808
marrage tax allowance,/marriage-allowance,3 perfect,3,,77,37,48%,62.99%,10
ofsted forms,,,,,77,37,48%,62.99%,203
hikvision,,,,,77,37,48%,62.99%,210
loft insulation grants,,,,,77,37,48%,62.99%,415
single person council tax,/apply-for-council-tax-discount,3 perfect,3,,50,20,40%,62.99%,12
single person council tax,/browse/housing-local-services/council-tax,2 good,2,,50,20,40%,62.99%,12
standard allowance,,,,,50,20,40%,62.99%,402
nursing jobs,,,,,69,32,46%,62.99%,179
pip award,,,,,69,32,46%,62.99%,248
red light,,,,,69,32,46%,62.99%,656
cats,,,,,61,27,44%,62.99%,145
bussiness rates,,,,,61,27,44%,62.99%,251
visa renew,,,,,61,27,44%,62.99%,705
capacity market,,,,,80,39,49%,62.99%,425
tourists visa,,,,,80,39,49%,62.99%,705
children care,,,,,53,22,42%,62.99%,188
comodity codes,,,,,53,22,42%,62.99%,725
check business,/get-information-about-a-company,3 perfect,3,,53,22,42%,62.99%,762
passport verification,,,,,53,22,42%,62.99%,802
hcpc,,,,,53,22,42%,62.99%,1294
my council tax bill,/council-tax,3 perfect,3,,64,29,45%,62.99%,17
extension visa,,,,,64,29,45%,62.99%,709
honorarium,,,,,64,29,45%,62.99%,1028
pre school,,,,,83,41,49%,62.99%,244
tree,,,,,83,41,49%,62.99%,673
mental,,,,,56,24,43%,62.99%,185
income tac,,,,,56,24,43%,62.99%,258
cqc,,,,,75,36,48%,62.99%,428
passport expired,,,,,75,36,48%,62.99%,803
personal tax accpunt,/personal-tax-account,3 perfect,3,,67,31,46%,62.99%,10
sustainable,,,,,67,31,46%,62.99%,238
how to find my national insurance number,,,,,67,31,46%,62.99%,269
car logbook,,,,,67,31,46%,62.99%,471
tourist visa requirements,,,,,67,31,46%,62.99%,709
section 13 rent increase,,,,,86,43,50%,62.99%,1381
trust deed,,,,,59,26,44%,62.99%,1027
visa process,,,,,78,38,49%,62.99%,709
health check,,,,,51,21,41%,62.99%,183
garden waste collection,,,,,51,21,41%,62.99%,599
visa photo,,,,,51,21,41%,62.99%,705
check my id,,,,,51,21,41%,62.99%,1452
driving examiner,,,,,70,33,47%,62.99%,477
sponsership visa,/uk-visa-sponsorship-employers,3 perfect,3,,70,33,47%,62.99%,705
password change,,,,,70,33,47%,62.99%,805
life,,,,,62,28,45%,62.99%,87
rats,,,,,62,28,45%,62.99%,146
magistrates court,,,,,62,28,45%,62.99%,359
wage slip,,,,,62,28,45%,62.99%,404
warranty,,,,,62,28,45%,62.99%,445
subcontractors,,,,,81,40,49%,62.99%,264
shareholder,,,,,54,23,43%,62.99%,389
free retest items,,,,,54,23,43%,62.99%,904
dpa,,,,,54,23,43%,62.99%,1164
fuel claim,,,,,73,35,48%,62.99%,608
5434,,,,,73,35,48%,62.99%,1255
adviser,,,,,65,30,46%,62.99%,51
health & safety,,,,,65,30,46%,62.99%,229
consulate,,,,,65,30,46%,62.99%,598
passport travel,,,,,65,30,46%,62.99%,781
tax bike,/vehicle-tax,3 perfect,3,,57,25,44%,62.99%,16
ppi payout,,,,,57,25,44%,62.99%,532
lost v778,,,,,68,32,47%,62.99%,769
atf,,,,,68,32,47%,62.99%,1055
religious,,,,,60,27,45%,62.99%,348
travel corridor,,,,,60,27,45%,62.99%,781
aft,,,,,60,27,45%,62.99%,1230
u turn,,,,,60,27,45%,62.99%,1481
building regulation,,,,,79,39,49%,62.99%,213
hire,,,,,79,39,49%,62.99%,410
discretion,,,,,52,22,42%,62.99%,291
administrative,,,,,52,22,42%,62.99%,312
gift aid number,,,,,52,22,42%,62.99%,376
recticel,,,,,52,22,42%,62.99%,543
pension nhs,,,,,52,22,42%,62.99%,586
what can i drive,,,,,71,34,48%,62.99%,475
whistle blowing,,,,,63,29,46%,62.99%,543
dqc,,,,,63,29,46%,62.99%,1359
application login,,,,,82,41,50%,62.99%,748
registration,,,,,55,24,44%,62.99%,226
vehicle logbook,,,,,55,24,44%,62.99%,481
psn,,,,,55,24,44%,62.99%,623
scaleup visa,,,,,55,24,44%,62.99%,705
remove director,,,,,55,24,44%,62.99%,1343
e form,,,,,55,24,44%,62.99%,1457
nhs fee,,,,,74,36,49%,62.99%,452
spousal maintenance,,,,,74,36,49%,62.99%,1032
wowgr,,,,,74,36,49%,62.99%,1277
track and trace,,,,,66,31,47%,62.99%,604
hgv,,,,,58,26,45%,62.99%,138
self employed benefits,,,,,58,26,45%,62.99%,196
housing grant,,,,,58,26,45%,62.99%,382
stoke on trent,,,,,58,26,45%,62.99%,595
incoterms,,,,,58,26,45%,62.99%,597
hybrid emissions,,,,,58,26,45%,62.99%,608
uk visa checklist,,,,,58,26,45%,62.99%,705
victims code,,,,,77,38,49%,62.99%,725
5 years,,,,,77,38,49%,62.99%,973
connection,,,,,50,21,42%,62.99%,211
charitable organisation,,,,,50,21,42%,62.99%,374
unit trusts,,,,,50,21,42%,62.99%,417
ethnicity pay gap,,,,,50,21,42%,62.99%,440
text alert,,,,,50,21,42%,62.99%,810
covenant,,,,,50,21,42%,62.99%,1045
erasmus,,,,,69,33,48%,62.99%,1259
blue bage,/apply-blue-badge,3 perfect,3,,61,28,46%,62.99%,659
assurance checks,,,,,61,28,46%,62.99%,764
ser,,,,,61,28,46%,62.99%,1056
best start grant,,,,,80,40,50%,62.99%,74
online agent,,,,,53,23,43%,62.99%,47
senior care worker,,,,,53,23,43%,62.99%,191
national insurance codes,,,,,53,23,43%,62.99%,269
sole representative,,,,,53,23,43%,62.99%,327
lorry driver,,,,,53,23,43%,62.99%,479
check my details,,,,,53,23,43%,62.99%,738
hewitt,,,,,53,23,43%,62.99%,1253
gifting property,,,,,72,35,49%,62.99%,413
summer school,/government/publications/summer-schools-programme,3 perfect,3,,64,30,47%,62.99%,22
additional,,,,,64,30,47%,62.99%,209
nhs dental,,,,,64,30,47%,62.99%,586
senior care,,,,,56,25,45%,62.99%,191
gross,,,,,56,25,45%,62.99%,394
credit universal,,,,,56,25,45%,62.99%,461
disaster,,,,,56,25,45%,62.99%,529
clawback,,,,,56,25,45%,62.99%,543
care visa sponsorship,,,,,56,25,45%,62.99%,707
end of life care,,,,,75,37,49%,62.99%,87
subsidy,,,,,75,37,49%,62.99%,406
business names,,,,,75,37,49%,62.99%,807
teacher trial mr andrew nicolaides,,,,,75,37,49%,62.99%,1252
adult,,,,,67,32,48%,62.99%,108
silicon valley bank,,,,,67,32,48%,62.99%,385
graduate schemes,,,,,67,32,48%,62.99%,401
durham,,,,,67,32,48%,62.99%,1208
continue,,,,,59,27,46%,62.99%,71
ppi refunds,,,,,59,27,46%,62.99%,532
ltd companies,,,,,51,22,43%,62.99%,55
pregnancy,,,,,51,22,43%,62.99%,116
health and safety policy,,,,,51,22,43%,62.99%,182
sole representative visa,,,,,51,22,43%,62.99%,327
refund payment,,,,,51,22,43%,62.99%,448
vehicle updates,,,,,51,22,43%,62.99%,481
working on a student visa,,,,,51,22,43%,62.99%,707
my visa status,,,,,51,22,43%,62.99%,708
proof of fund,,,,,70,34,49%,62.99%,373
housing register,,,,,70,34,49%,62.99%,418
signals,,,,,70,34,49%,62.99%,846
200,,,,,62,29,47%,62.99%,946
ad blue,,,,,62,29,47%,62.99%,1244
magnox,,,,,62,29,47%,62.99%,1255
ventilation,,,,,54,24,44%,62.99%,217
company pension,,,,,54,24,44%,62.99%,423
gender pay gap report,,,,,54,24,44%,62.99%,440
meal,,,,,54,24,44%,62.99%,651
changing my name,,,,,54,24,44%,62.99%,808
shigella,,,,,54,24,44%,62.99%,1250
April 2023,,,,,54,24,44%,62.99%,1336
self assessment phone number,,,,,73,36,49%,62.99%,196
re examination,,,,,65,31,48%,62.99%,198
cbrn,,,,,65,31,48%,62.99%,667
living with covid,,,,,57,26,46%,62.99%,70
covid payment,,,,,57,26,46%,62.99%,459
train driver,,,,,57,26,46%,62.99%,493
driving licence exchange,,,,,57,26,46%,62.99%,796
ebss application form,,,,,76,38,50%,62.99%,207
surinder singh,,,,,76,38,50%,62.99%,1253
register for council tax,/guidance/start-paying-council-tax,3 perfect,3,,60,28,47%,62.99%,17
manage your account authorities,,,,,60,28,47%,62.99%,282
civil penalty,,,,,60,28,47%,62.99%,313
extra money,,,,,60,28,47%,62.99%,433
council tax rates,/council-tax-bands,3 perfect,3,,52,23,44%,62.99%,17
care giver jobs,,,,,52,23,44%,62.99%,190
department,,,,,52,23,44%,62.99%,312
phone number for esa,,,,,52,23,44%,62.99%,329
property management,,,,,52,23,44%,62.99%,413
sme definition,,,,,52,23,44%,62.99%,1098
second homes,,,,,71,35,49%,62.99%,160
harrassment,,,,,55,25,45%,62.99%,324
deed of gift,,,,,55,25,45%,62.99%,441
cabin crew,,,,,55,25,45%,62.99%,498
tex code,,,,,55,25,45%,62.99%,1011
vehicular tax,/vehicle-tax,3 perfect,3,,74,37,50%,62.99%,6
national insurance contact number,,,,,66,32,48%,62.99%,269
status of visa,,,,,66,32,48%,62.99%,708
needs assessment,,,,,58,27,47%,62.99%,73
theory test results,,,,,58,27,47%,62.99%,242
probate helpline,,,,,58,27,47%,62.99%,747
13,,,,,58,27,47%,62.99%,953
indemnity,,,,,58,27,47%,62.99%,1046
m1 vehicle,,,,,58,27,47%,62.99%,1361
settlement statement,,,,,50,22,44%,62.99%,289
governors,,,,,50,22,44%,62.99%,311
currency exchange,,,,,50,22,44%,62.99%,387
miami,,,,,50,22,44%,62.99%,1315
change my email address,,,,,69,34,49%,62.99%,733
change my surname,,,,,61,29,48%,62.99%,806
technical briefings,,,,,53,24,45%,62.99%,27
easter holidays,,,,,53,24,45%,62.99%,64
hgv renewal,,,,,53,24,45%,62.99%,137
aircraft,,,,,53,24,45%,62.99%,502
gateshead,,,,,53,24,45%,62.99%,1364
rehabilitation,,,,,72,36,50%,62.99%,211
customer charter,,,,,72,36,50%,62.99%,421
brucella,,,,,72,36,50%,62.99%,1250
property owner,,,,,64,31,48%,62.99%,411
year 6 sats,,,,,64,31,48%,62.99%,975
botox,,,,,56,26,46%,62.99%,128
retesting,,,,,56,26,46%,62.99%,131
cla,,,,,56,26,46%,62.99%,245
closing business,,,,,56,26,46%,62.99%,424
payment reference,,,,,56,26,46%,62.99%,459
2014,,,,,56,26,46%,62.99%,986
york,,,,,56,26,46%,62.99%,1317
charitable organisations,,,,,67,33,49%,62.99%,374
my car,,,,,67,33,49%,62.99%,469
probate download,,,,,67,33,49%,62.99%,747
hedges,,,,,59,28,47%,62.99%,388
sky,,,,,59,28,47%,62.99%,634
ap03,,,,,59,28,47%,62.99%,1025
itsa,,,,,59,28,47%,62.99%,1086
self employed grants,,,,,51,23,45%,62.99%,196
nation,,,,,51,23,45%,62.99%,220
theory test result,,,,,51,23,45%,62.99%,242
employee history,,,,,51,23,45%,62.99%,280
detention,,,,,51,23,45%,62.99%,288
registration change,,,,,51,23,45%,62.99%,804
uncrc,,,,,51,23,45%,62.99%,1275
working permit,,,,,70,35,50%,62.99%,61
ntl form,,,,,70,35,50%,62.99%,208
pension query,,,,,62,30,48%,62.99%,403
pip email address,,,,,62,30,48%,62.99%,732
test equipment,,,,,65,32,49%,62.99%,243
household grant,,,,,65,32,49%,62.99%,381
customs clearance,,,,,65,32,49%,62.99%,598
school trip,/health-safety-school-children,2 good,2,,57,27,47%,62.99%,21
school trip,/government/publications/consent-for-school-trips-and-other-off-site-activities,1 okay,1,,57,27,47%,62.99%,21
school trip,/school-attendance-absence,0 bad,0,,57,27,47%,62.99%,21
animal by products,,,,,57,27,47%,62.99%,144
hotels,,,,,57,27,47%,62.99%,164
apprenticeship jobs,,,,,57,27,47%,62.99%,179
product safety,,,,,57,27,47%,62.99%,228
product safety alerts,,,,,57,27,47%,62.99%,228
shared,,,,,68,34,50%,62.99%,386
air conditioning,,,,,68,34,50%,62.99%,630
de&s,,,,,68,34,50%,62.99%,1288
covid care homes,,,,,60,29,48%,62.99%,187
recruitment agencies,,,,,60,29,48%,62.99%,264
date of death,,,,,60,29,48%,62.99%,321
sponsorship visa jobs,,,,,60,29,48%,62.99%,707
paying income tax,/income-tax,2 good,2,,52,24,46%,62.99%,5
paying income tax,/income-tax/how-you-pay-income-tax,3 perfect,3,,52,24,46%,62.99%,5
support services,,,,,52,24,46%,62.99%,378
conveyancing,,,,,52,24,46%,62.99%,598
visa check list,,,,,52,24,46%,62.99%,766
caseworker guidance,,,,,52,24,46%,62.99%,837
entitlement letter,,,,,52,24,46%,62.99%,842
changing phone number,,,,,52,24,46%,62.99%,859
care home funding,,,,,63,31,49%,63.00%,187
ifrs 16,,,,,63,31,49%,63.00%,969
national health insurance,,,,,55,26,47%,63.00%,183
life in the uk test result,,,,,55,26,47%,63.00%,242
take home pay calculator,,,,,55,26,47%,63.00%,698
12,,,,,55,26,47%,63.00%,955
james cleverly,,,,,55,26,47%,63.00%,1253
min,,,,,55,26,47%,63.00%,1487
resign as a director,,,,,66,33,50%,63.00%,44
special needs,,,,,66,33,50%,63.00%,73
national security,,,,,66,33,50%,63.00%,315
reclaim stamp duty,,,,,66,33,50%,63.00%,335
charity,,,,,66,33,50%,63.00%,374
covid restrictions,/coronavirus,3 perfect,3,,66,33,50%,63.00%,784
5g,,,,,66,33,50%,63.00%,1465
animal health and welfare,,,,,58,28,48%,63.00%,183
death notification,,,,,58,28,48%,63.00%,320
companies house address,,,,,58,28,48%,63.00%,416
company status,,,,,58,28,48%,63.00%,423
trace my pensions,,,,,58,28,48%,63.00%,596
tax rebat,/claim-tax-refund,3 perfect,3,,50,23,46%,63.00%,6
health matters,,,,,50,23,46%,63.00%,183
company certificate,,,,,50,23,46%,63.00%,423
postal,,,,,50,23,46%,63.00%,849
tax exempt,/vehicle-exempt-from-vehicle-tax,3 perfect,3,,61,30,49%,63.00%,6
annual tax summery,/guidance/annual-tax-summary,3 perfect,3,,61,30,49%,63.00%,10
compare school,/school-performance-tables,3 perfect,3,,61,30,49%,63.00%,22
network,,,,,61,30,49%,63.00%,880
gateway is,,,,,61,30,49%,63.00%,1364
naturalised,,,,,53,25,47%,63.00%,131
social workers,,,,,53,25,47%,63.00%,275
view my application,,,,,53,25,47%,63.00%,283
uk travel advice,,,,,64,32,50%,63.00%,781
tax accountant,/tax-help,2 good,2,,56,27,48%,63.00%,6
tax accountant,/personal-tax-account,3 perfect,3,,56,27,48%,63.00%,6
pip1 form,,,,,56,27,48%,63.00%,207
biometrics appointment,,,,,56,27,48%,63.00%,293
rls,,,,,56,27,48%,63.00%,294
indefinite leave to remain renewal,,,,,56,27,48%,63.00%,776
v5 document,,,,,59,29,49%,63.00%,37
dvla refund,,,,,59,29,49%,63.00%,449
90 days,,,,,59,29,49%,63.00%,944
national risk assessment,,,,,51,24,47%,63.00%,249
help to,,,,,51,24,47%,63.00%,913
amr,,,,,51,24,47%,63.00%,1084
previous tax return,/check-income-tax-last-year,3 perfect,3,,62,31,50%,63.00%,11
clinical trial,,,,,62,31,50%,63.00%,27
cabotage,,,,,62,31,50%,63.00%,1033
beneficial,,,,,54,26,48%,63.00%,78
park,,,,,54,26,48%,63.00%,168
how to find national insurance number,,,,,54,26,48%,63.00%,269
immigration fees,,,,,54,26,48%,63.00%,451
rochdale,,,,,54,26,48%,63.00%,1350
time limits,,,,,57,28,49%,63.00%,89
current state pension,,,,,57,28,49%,63.00%,309
fraud,,,,,57,28,49%,63.00%,340
house support fund,,,,,57,28,49%,63.00%,373
ukef,,,,,57,28,49%,63.00%,558
double manning,,,,,57,28,49%,63.00%,595
depend visa,,,,,57,28,49%,63.00%,709
open utr,,,,,57,28,49%,63.00%,930
injury claim,,,,,60,30,50%,63.00%,333
travel cost,,,,,60,30,50%,63.00%,454
chare code,,,,,60,30,50%,63.00%,725
articles,,,,,60,30,50%,63.00%,824
broadband help,,,,,60,30,50%,63.00%,914
year 2 sats,,,,,60,30,50%,63.00%,975
botc,,,,,60,30,50%,63.00%,1035
cds registration,,,,,52,25,48%,63.00%,54
single person,,,,,52,25,48%,63.00%,79
roadworks,,,,,52,25,48%,63.00%,489
zimbabwe,,,,,52,25,48%,63.00%,1252
tcfd,,,,,52,25,48%,63.00%,1415
tax and ni,/estimate-income-tax,3 perfect,3,,55,27,49%,63.00%,3
self employd,,,,,55,27,49%,63.00%,192
state pendion,/new-state-pension,3 perfect,3,,55,27,49%,63.00%,309
cancel universal credit,,,,,55,27,49%,63.00%,461
energy relief scheme,,,,,55,27,49%,63.00%,612
visa t5,,,,,55,27,49%,63.00%,701
sports visa,,,,,55,27,49%,63.00%,705
